url_length,count_digits,has_at,has_https,count_dots,has_hyphen,has_ip,count_special_chars,count_slash,path_length,count_subdomains,has_suspicious_words,url_entropy,digit_ratio,has_port,tld_length,is_shortened_url,label
19.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.6818808028034025,0.0,0.0,3.0,0.0,0
19.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.471354487013929,0.0,0.0,3.0,0.0,0
33.0,15.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,6.0,2.0,0.0,3.919563347274704,0.45454545454545453,1.0,8.0,0.0,1
17.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.616874605956222,0.0,0.0,2.0,0.0,0
24.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.918295834054489,0.0,0.0,3.0,0.0,0
34.0,16.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,6.0,2.0,0.0,3.8221819586428722,0.47058823529411764,1.0,9.0,0.0,1
36.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,4.2527152789797045,0.1388888888888889,0.0,2.0,0.0,1
34.0,16.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,6.0,2.0,0.0,3.881005488054637,0.47058823529411764,1.0,9.0,0.0,1
17.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.4992275471326924,0.0,0.0,2.0,0.0,0
19.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.9321380397593746,0.0,0.0,3.0,0.0,0
32.0,14.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,6.0,2.0,0.0,4.077819531114783,0.4375,1.0,8.0,0.0,1
39.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,4.162980744225907,0.10256410256410256,0.0,2.0,0.0,1
32.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,3.8820488277869583,0.03125,0.0,4.0,0.0,1
49.0,20.0,0.0,0.0,4.0,0.0,1.0,0.0,5.0,28.0,2.0,0.0,4.37534135527438,0.40816326530612246,0.0,3.0,0.0,1
22.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.6635327548042547,0.0,0.0,3.0,0.0,0
37.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,4.046762824854521,0.02702702702702703,0.0,3.0,0.0,1
36.0,15.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,9.0,2.0,0.0,3.9959065984842455,0.4166666666666667,1.0,8.0,0.0,1
16.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.5,0.0,0.0,3.0,0.0,0
26.0,12.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,4.0,2.0,0.0,3.8441065448145384,0.46153846153846156,0.0,3.0,0.0,1
31.0,11.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,9.0,2.0,0.0,3.8245334068819115,0.3548387096774194,0.0,3.0,0.0,1
21.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.7256507561120937,0.0,0.0,2.0,0.0,0
17.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.4548223999466057,0.0,0.0,4.0,0.0,0
30.0,17.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,3.5096856969120642,0.5666666666666667,1.0,9.0,0.0,1
15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.506890595608519,0.0,0.0,2.0,0.0,0
32.0,14.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,6.0,2.0,0.0,3.890319531114783,0.4375,1.0,8.0,0.0,1
35.0,11.0,0.0,0.0,4.0,0.0,1.0,0.0,4.0,14.0,2.0,0.0,3.9788640881880974,0.3142857142857143,0.0,3.0,0.0,1
21.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.880179922675738,0.0,0.0,2.0,0.0,0
17.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.4548223999466057,0.0,0.0,2.0,0.0,0
32.0,12.0,0.0,1.0,4.0,0.0,1.0,0.0,3.0,9.0,2.0,0.0,4.015319531114783,0.375,0.0,3.0,0.0,1
33.0,17.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,4.0,2.0,0.0,3.7785020735761097,0.5151515151515151,1.0,9.0,0.0,1
35.0,13.0,0.0,0.0,4.0,0.0,1.0,0.0,4.0,13.0,2.0,0.0,3.436108018978108,0.37142857142857144,0.0,3.0,0.0,1
22.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.8796640049025943,0.0,0.0,3.0,0.0,0
16.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.452819531114783,0.0,0.0,2.0,0.0,0
18.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.4193819456463714,0.0,0.0,2.0,0.0,0
109.0,29.0,0.0,1.0,2.0,1.0,0.0,5.0,3.0,77.0,1.0,0.0,5.257082173580918,0.26605504587155965,0.0,2.0,0.0,1
24.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.434560814286289,0.0,0.0,2.0,0.0,0
36.0,15.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,9.0,2.0,0.0,4.027719015921097,0.4166666666666667,1.0,7.0,0.0,1
29.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.21126073643228,0.0,0.0,3.0,0.0,0
19.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.826874881864638,0.0,0.0,2.0,0.0,0
61.0,15.0,0.0,0.0,5.0,0.0,1.0,1.0,5.0,35.0,2.0,0.0,4.4782232566755455,0.2459016393442623,1.0,8.0,0.0,1
16.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.327819531114783,0.0,0.0,2.0,0.0,0
